City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
328,Praia Da Vitoria,PT,38.73,-27.07,59.0,82,40,22.73,scattered clouds
329,Prince Rupert,CA,54.32,-130.32,44.6,70,90,11.41,light rain
330,Tautira,PF,-17.73,-149.15,84.2,70,20,5.82,few clouds
331,Usoke,TZ,-5.17,32.35,75.2,69,75,1.9,light rain
332,Miguel Alves,BR,-4.17,-42.9,91.06,44,95,0.49,overcast clouds
333,Westport,US,41.14,-73.36,62.6,93,90,24.16,mist
334,Tilichiki,RU,60.47,166.1,-5.1,95,40,9.46,scattered clouds
335,Niono,ML,14.25,-5.99,82.17,22,97,7.72,overcast clouds
336,Mishelevka,RU,52.86,103.17,15.4,92,95,3.49,overcast clouds
337,Mezen,RU,65.85,44.24,33.37,92,100,11.56,overcast clouds
338,Harrisonville,US,38.65,-94.35,41.0,30,1,10.29,clear sky
339,Haines Junction,CA,60.75,-137.51,-4.0,83,98,2.24,overcast clouds
340,Moss Point,US,30.41,-88.53,57.2,41,1,10.29,clear sky
341,Flinders,AU,-34.58,150.86,69.01,78,44,4.0,scattered clouds
342,Mikun,RU,62.35,50.08,24.44,97,100,11.03,overcast clouds
343,Knysna,ZA,-34.04,23.05,60.8,82,79,13.87,light rain
344,Port Macquarie,AU,-31.43,152.92,70.0,80,95,1.01,overcast clouds
345,Chino Valley,US,34.76,-112.45,55.0,23,1,4.7,clear sky
346,Pasni,PK,25.26,63.47,73.94,50,0,5.53,clear sky
347,Kaitangata,NZ,-46.28,169.85,55.99,55,10,4.0,clear sky
348,Bolshaya Rechka,RU,51.95,104.74,14.0,100,93,2.24,mist
349,Vidim,RU,56.41,103.11,9.84,94,100,7.07,overcast clouds
350,Bambous Virieux,MU,-20.34,57.76,77.0,83,40,12.75,shower rain
351,Luderitz,NA,-26.65,15.16,62.6,67,0,14.99,clear sky
352,Berlevag,NO,70.86,29.09,30.2,86,20,48.32,few clouds
353,Cap Malheureux,MU,-19.98,57.61,77.0,82,0,7.0,clear sky
354,Mogadishu,SO,2.04,45.34,79.7,80,6,16.44,clear sky
